City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
60,Champerico,GT,2020-07-19 12:40:29,14.3,-91.92,73.4,94,20,6.06
61,Rikitea,PF,2020-07-19 12:40:29,-23.12,-134.97,68.95,75,0,16.78
62,Cumberland,US,2020-07-19 12:38:00,35.05,-78.87,80.01,83,1,8.05
63,Bairnsdale,AU,2020-07-19 12:40:29,-37.83,147.62,48.99,74,32,1.99
64,Butaritari,KI,2020-07-19 12:40:30,3.07,172.79,83.44,76,100,11.97
65,Kapaa,US,2020-07-19 12:40:30,22.08,-159.32,80.6,78,90,12.75
66,Puerto Ayora,EC,2020-07-19 12:40:31,-0.74,-90.35,66.99,98,98,3.0
67,Mae Sai,TH,2020-07-19 12:40:31,20.43,99.88,82.4,88,20,5.82
68,Hasaki,JP,2020-07-19 12:40:31,35.73,140.83,73.0,100,20,1.12
69,Port-Cartier,CA,2020-07-19 12:40:31,50.03,-66.87,70.0,68,20,4.7
70,Pisco,PE,2020-07-19 12:40:32,-13.7,-76.22,59.0,82,90,5.82
71,Lebu,CL,2020-07-19 12:40:32,-37.62,-73.65,51.82,90,31,13.44
72,Asfi,MA,2020-07-19 12:40:32,32.3,-9.24,82.49,54,0,23.51
73,Hermanus,ZA,2020-07-19 12:40:33,-34.42,19.23,68.0,58,0,3.0
74,Raudeberg,NO,2020-07-19 12:40:33,61.99,5.14,59.0,67,83,13.87
75,Saint-Philippe,RE,2020-07-19 12:40:33,-21.36,55.77,73.4,68,40,23.04
76,Khatanga,RU,2020-07-19 12:40:33,71.97,102.5,57.7,71,100,13.62
77,Santa Rosa,PH,2020-07-19 12:40:33,14.31,121.11,86.0,66,100,4.7
78,Torit,SS,2020-07-19 12:40:34,4.41,32.57,79.81,60,100,3.15
79,Cherskiy,RU,2020-07-19 12:40:34,68.75,161.3,58.03,67,0,3.74
80,Minna,NG,2020-07-19 12:40:34,9.61,6.56,76.12,90,99,7.7
81,Port Elizabeth,ZA,2020-07-19 12:40:34,-33.92,25.57,66.2,68,0,8.05
82,Provideniya,RU,2020-07-19 12:40:34,64.38,-173.3,48.15,71,100,3.04
83,Lompoc,US,2020-07-19 12:40:35,34.64,-120.46,59.0,87,90,4.7
