City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
71,Kavieng,PG,-2.57,150.8,84.38,74,9,11.86,light rain,0.57,0
72,Ulladulla,AU,-35.35,150.47,57.2,76,75,10.29,broken clouds,0.0,0
73,Olafsvik,IS,64.89,-23.71,48.43,78,1,11.79,clear sky,0.0,0
74,Nikolayevsk-Na-Amure,RU,53.14,140.73,56.52,83,100,3.91,overcast clouds,0.0,0
75,Khatanga,RU,71.97,102.5,46.13,78,100,19.26,overcast clouds,0.0,0
76,Hambantota,LK,6.12,81.12,84.2,83,75,9.17,broken clouds,0.0,0
77,Broken Hill,AU,-31.95,141.43,59.0,44,0,9.17,clear sky,0.0,0
78,Inhambane,MZ,-23.86,35.38,68.0,68,75,8.43,broken clouds,0.0,0
79,Alofi,NU,-19.06,-169.92,73.4,94,77,11.41,broken clouds,0.0,0
80,Wamba,NG,8.93,8.6,73.11,92,91,2.91,overcast clouds,0.0,0
81,Kisangani,CD,0.52,25.2,69.8,100,75,2.15,mist,0.0,0
82,Porto Santo,PT,33.07,-16.34,68.0,72,40,12.75,scattered clouds,0.0,0
83,Sur,OM,22.57,59.53,92.5,52,62,7.83,broken clouds,0.0,0
84,Ribeira Grande,PT,38.52,-28.7,64.4,77,16,5.82,few clouds,0.0,0
85,Klaksvik,FO,62.23,-6.59,48.2,87,94,1.12,overcast clouds,0.0,0
86,Bandar-E Lengeh,IR,26.56,54.88,95.0,59,40,9.17,scattered clouds,0.0,0
87,Maceio,BR,-9.67,-35.74,69.8,94,40,1.12,scattered clouds,0.0,0
88,Talnakh,RU,69.49,88.4,55.4,66,40,26.84,scattered clouds,0.0,0
89,Mareeba,AU,-17.0,145.43,77.0,61,40,13.87,scattered clouds,0.0,0
90,Coquimbo,CL,-29.95,-71.34,48.2,87,1,1.12,clear sky,0.0,0
91,Barra Patuca,HN,15.8,-84.28,78.6,88,100,4.81,overcast clouds,0.0,0
92,Victoria,HK,22.29,114.16,91.4,59,20,11.41,few clouds,0.0,0
93,Talara,PE,-4.58,-81.27,64.15,79,1,14.27,clear sky,0.0,0
94,Funchal,PT,32.63,-16.9,68.0,68,20,9.17,few clouds,0.0,0
95,Sharjah,AE,25.36,55.4,96.8,44,0,12.75,clear sky,0.0,0
96,Karratha,AU,-20.74,116.85,77.23,41,0,11.61,clear sky,0.0,0
97,Batsfjord,NO,70.63,29.72,48.2,100,90,6.93,fog,0.0,0
98,Avarua,CK,-21.21,-159.78,75.2,94,98,9.17,overcast clouds,0.0,0
99,Port Hedland,AU,-20.32,118.57,78.8,39,0,18.34,clear sky,0.0,0
100,Vaini,TO,-21.2,-175.2,69.8,94,75,11.41,broken clouds,0.0,0
101,Egvekinot,RU,66.32,-179.17,64.06,48,100,12.1,overcast clouds,0.0,0
102,Ust-Karsk,RU,52.7,118.81,98.51,23,99,11.14,overcast clouds,0.0,0
103,Durg,IN,21.18,81.28,84.72,69,97,14.88,overcast clouds,0.0,0
104,Lavrentiya,RU,65.58,-171.0,54.48,57,100,8.41,overcast clouds,0.0,0
105,Aklavik,CA,68.22,-135.01,50.0,61,20,5.82,few clouds,0.0,0
106,Havoysund,NO,71.0,24.66,48.2,93,75,5.82,light intensity drizzle,0.0,0
107,Escanaba,US,45.75,-87.06,60.01,93,90,6.93,overcast clouds,0.0,0
108,Pisco,PE,-13.7,-76.22,59.0,82,34,4.7,scattered clouds,0.0,0
109,Carnarvon,AU,-24.87,113.63,71.6,73,0,17.22,clear sky,0.0,0
110,Grand-Santi,GF,4.25,-54.38,72.12,96,100,1.14,overcast clouds,0.0,0
111,Maniitsoq,GL,65.42,-52.9,53.64,69,89,5.44,overcast clouds,0.0,0
112,Tiksi,RU,71.69,128.87,60.26,72,87,5.88,overcast clouds,0.0,0
113,Porto Velho,BR,-8.76,-63.9,71.6,94,42,0.72,scattered clouds,0.0,0
114,Upernavik,GL,72.79,-56.15,44.82,77,0,12.44,clear sky,0.0,0
115,Inirida,CO,3.87,-67.92,71.67,93,100,0.89,overcast clouds,0.0,0
116,Eregli,TR,37.51,34.05,70.27,50,0,6.2,clear sky,0.0,0
117,Marienburg,PL,54.04,19.03,63.0,67,44,12.75,scattered clouds,0.0,0
118,Linda,US,39.13,-121.55,71.6,60,1,9.17,clear sky,0.0,0
119,San Andres,CO,12.58,-81.7,82.4,83,75,8.05,broken clouds,0.0,0
120,Constantine,DZ,36.37,6.61,71.6,43,0,2.37,clear sky,0.0,0
121,Luganville,VU,-15.53,167.17,78.8,69,75,3.36,broken clouds,0.0,0
122,Madang,PG,-5.22,145.8,82.89,76,12,7.05,few clouds,0.0,0
123,Taveta,KE,-3.4,37.67,64.4,88,75,5.82,broken clouds,0.0,0
124,Voh,NC,-20.97,164.7,68.05,73,13,6.85,few clouds,0.0,0
125,Yining,CN,29.04,114.56,96.93,44,8,4.81,clear sky,0.0,0
126,Kampot,KH,10.62,104.18,89.6,59,40,6.93,scattered clouds,0.0,0
127,Burnie,AU,-41.07,145.92,55.0,66,99,4.0,overcast clouds,0.0,0
128,Ponta Do Sol,PT,32.67,-17.1,68.0,68,20,9.17,few clouds,0.0,0
129,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,71.98,96,94,1.32,light rain,0.9,0
130,Cabo San Lucas,MX,22.89,-109.91,82.0,70,1,1.99,clear sky,0.0,0
131,Makokou,GA,0.57,12.86,70.65,91,84,3.96,broken clouds,0.0,0
132,Flinders,AU,-34.58,150.86,61.0,74,22,5.01,few clouds,0.0,0
133,Cayenne,GF,4.93,-52.33,73.4,100,90,4.18,fog,0.0,0
134,Grand Gaube,MU,-20.01,57.66,75.0,45,0,13.0,clear sky,0.0,0
135,Severo-Kurilsk,RU,50.68,156.12,51.24,89,87,1.99,overcast clouds,0.0,0
136,Yerbogachen,RU,61.28,108.01,73.0,44,41,4.65,scattered clouds,0.0,0
137,Sitka,US,57.05,-135.33,55.4,93,90,4.7,overcast clouds,0.0,0
138,Ormara,PK,25.21,64.64,86.43,74,2,16.35,clear sky,0.0,0
139,Bonavista,CA,48.65,-53.11,57.09,83,100,10.56,overcast clouds,0.0,0
140,Mastic Beach,US,40.77,-72.85,77.0,88,1,5.82,clear sky,0.0,0
141,Hobyo,SO,5.35,48.53,81.75,60,15,27.85,few clouds,0.0,0
142,Moerai,PF,-22.43,-151.33,71.53,79,0,18.32,clear sky,0.0,0
143,Stulovo,RU,58.72,50.14,59.61,97,100,4.9,moderate rain,1.48,0
144,Hithadhoo,MV,-0.6,73.08,82.71,73,78,13.35,light rain,0.91,0
145,Kazachinskoye,RU,57.7,93.28,69.67,40,1,11.12,clear sky,0.0,0
146,Lompoc,US,34.64,-120.46,60.8,77,13,4.7,few clouds,0.0,0
